area_sqft,bedrooms,bathrooms,location_score,age_of_house,price
2678,3,4,8,12,11080504
1248,1,3,1,6,7783422
928,1,1,4,14,7107765
2082,4,1,4,18,11971937
1551,5,3,7,34,9657676
2605,1,1,7,16,4880612
2616,1,2,8,34,11122587
3268,3,1,5,18,11166712
2478,2,3,7,19,7719574
1796,4,3,8,35,12887155
2372,4,2,9,34,8069451
761,2,4,3,31,14933238
2351,1,3,3,39,7291882
1375,3,2,4,23,9362758
2427,3,1,5,16,3495893
2921,4,1,1,6,14084855
1651,3,2,7,0,12727658
2973,2,2,9,34,5170492
1539,1,3,8,31,9854421
1139,2,1,5,35,13343865
3135,5,2,4,12,5477299
1421,4,1,7,5,5434317
2061,3,2,5,13,14855522
1688,5,1,7,36,14192089
955,3,4,1,14,7037454
834,1,3,1,3,10651168
2874,1,1,3,39,4046064
2148,1,4,2,15,5740641
2696,3,1,2,27,5215548
717,5,1,7,15,3279091
2701,1,4,2,3,13255397
2273,5,1,4,25,13055399
3212,3,1,2,27,14265788
1667,5,3,6,31,4206930
2700,3,4,8,1,8467520
1157,3,4,4,30,3464795
2415,4,2,5,2,13471844
2605,3,1,4,7,4078458
997,3,3,3,23,12698379
1274,2,1,5,14,11158123
986,1,1,9,30,12508787
2758,4,2,8,8,8481804
3261,4,1,8,38,14685875
2664,4,3,8,1,10083491
1483,2,3,8,7,3171986
1140,3,2,7,6,13223090
770,1,1,8,38,13910394
3056,5,3,8,15,11026508
1339,3,1,8,34,10345772
2001,2,1,7,29,12172891
2877,3,1,1,9,10548056
718,3,2,4,37,14707579
3431,2,1,4,17,9489875
3112,4,3,5,4,12391669
2751,4,1,6,28,11401674
3345,1,3,4,38,6508146
2595,1,1,2,33,4861331
2305,4,3,6,22,3658343
2322,5,3,8,4,13419721
2822,3,1,8,29,3041529
3392,5,1,7,5,13563023
2297,3,3,6,3,6848530
2044,4,4,2,28,10783161
2359,1,2,7,22,7656758
2124,1,4,5,5,4653548
1264,5,4,6,31,12429627
632,1,1,8,17,11007528
2702,4,2,8,14,2906547
3166,5,4,3,39,12547698
3403,3,1,7,31,4157583
2659,1,4,1,8,2563014
2151,2,4,1,36,14597970
1319,1,1,7,9,8977006
3202,3,1,9,19,8410494
3020,5,1,7,5,3735382
1083,3,2,5,2,7728298
1572,2,4,8,10,7032889
3270,4,1,2,16,14080457
906,1,3,9,31,14771114
1056,5,4,6,3,13308101
2807,4,3,9,3,11245386
930,3,2,2,16,12186290
3423,5,1,3,18,10275679
824,4,3,8,4,5632293
3376,5,2,1,31,12429645
2079,2,1,7,21,6532371
1682,2,3,7,5,5102352
1243,1,3,1,34,4031817
1215,1,2,9,21,9267835
794,2,1,8,0,4515074
1088,5,1,4,19,8215175
2804,2,3,5,21,10245863
3257,1,3,2,10,7220058
1849,2,3,9,12,14851539
3059,2,1,6,2,9119511
1702,5,2,3,8,4302502
1747,4,2,7,11,3962538
3118,1,1,9,22,8879878
1841,5,4,3,13,8245980
1115,2,2,2,32,4526819
2225,2,3,7,17,12963128
1727,4,4,7,8,7709995
992,1,4,4,22,13321273
1230,1,2,9,9,6434053
2447,3,4,8,18,10132749
3255,1,4,1,4,8364075
1579,4,2,1,22,3232722
1033,3,2,5,29,7580692
3187,3,4,6,24,12680004
877,2,3,3,27,8525261
832,2,1,9,33,10745044
2152,1,4,6,24,12089455
2194,3,4,4,9,11922712
1713,2,3,7,13,13339308
3009,4,4,8,29,6375416
625,2,4,9,24,7538460
2017,2,1,6,13,14906901
3154,3,1,6,34,12104661
2914,3,1,8,33,9817619
1060,5,2,5,9,8538602
3103,4,2,3,34,6601599
1691,3,1,3,10,12582608
1606,1,1,6,10,3890598
2594,4,2,2,20,7046925
1090,4,3,6,20,13458457
1672,3,4,6,21,11620266
3211,4,4,8,6,14684923
815,3,1,7,16,7379797
2323,2,3,8,1,6275702
2192,5,2,9,11,6590284
3206,2,1,6,17,9270161
758,3,3,3,10,13288379
3136,3,3,3,15,9398410
1285,2,3,1,17,4955918
3441,1,2,5,34,10553048
2376,1,2,4,25,14694329
2652,1,4,9,15,10593212
2443,3,4,9,5,13254912
3008,4,3,5,11,11199043
3106,3,3,4,12,11047085
2895,4,2,7,3,10088173
2189,2,4,6,38,13284290
2296,5,3,4,1,10455229
3069,4,4,2,25,9610928
2546,1,4,1,26,6230370
2662,3,3,4,26,13326447
3383,2,2,4,14,6188173
1745,1,3,1,7,12235260
2924,2,3,6,6,9205836
2181,5,4,4,39,10509806
3100,3,3,1,11,14817293
3245,3,2,1,12,4480407
3093,5,3,1,16,8643192
2857,3,2,8,16,5777746
3361,4,2,8,35,3301125
2949,2,4,2,20,4886537
2532,1,1,7,7,5498778
2357,5,1,8,4,5193695
2650,4,4,8,25,4268693
1589,1,3,7,15,12879769
2141,1,4,5,35,14751557
1716,5,2,1,27,12198623
3167,4,1,9,28,7754230
1092,1,4,7,11,6356600
1219,1,3,2,36,2601894
2978,4,4,6,29,3908277
2980,3,1,2,22,13421808
2697,1,4,1,15,8688753
2146,2,4,7,13,12493200
1462,4,1,2,9,6067945
2291,1,2,2,6,6166569
2205,5,2,5,36,5729112
2919,2,1,5,28,3548966
1179,1,4,7,2,10320783
2490,2,1,1,14,10375889
1875,2,2,8,35,6716794
3207,3,3,3,18,11720915
3343,2,4,4,12,4589632
2455,3,2,9,20,10334112
3093,4,4,4,36,12729483
1955,3,1,5,26,7299412
1762,5,3,7,28,13257025
956,1,1,4,19,14444579
2224,4,3,1,24,10229578
2921,4,4,9,5,14894997
2606,5,4,4,35,2812579
2958,3,1,9,1,9307040
1469,1,3,6,21,14962150
1485,3,3,1,31,8855421
2601,2,4,3,15,4063825
2801,3,1,2,17,6018920
2013,4,3,9,4,6528604
1883,1,4,1,35,14366402
1219,3,2,9,29,9933980
1482,1,1,9,18,4024631
1396,1,2,8,22,12080498
2772,2,1,8,33,13233859
1896,2,4,1,12,7724369
1218,4,3,8,28,13781139
2434,5,3,3,35,7461914
844,1,3,7,21,13712586
3495,5,1,1,35,10095853
3097,4,4,1,8,10150961
1529,1,2,5,38,3406395
1870,1,4,5,18,14716847
1119,5,2,8,37,14312602
3009,3,1,7,5,4444606
607,2,1,8,14,10788515
3125,3,2,6,19,7305028
2619,5,2,6,8,13196208
1094,2,2,2,31,3470278
2229,3,4,6,3,11384527
3480,2,2,5,17,14170445
1662,1,1,3,4,7771513
3240,3,1,6,19,7505231
786,2,3,8,22,5448134
3401,2,2,9,10,13198216
2477,2,4,1,36,3847203
2740,3,4,3,21,9166781
685,4,4,3,3,11355197
736,3,3,8,28,13281973
3068,5,1,1,33,3687018
2721,3,4,5,12,12581345
2236,2,1,3,8,7597579
2818,1,3,2,30,9911979
2351,3,2,8,6,4767357
2817,3,2,3,3,4299971
2387,2,2,7,18,12032945
1471,1,4,1,29,12313081
2969,1,2,6,30,14139036
3103,5,4,3,34,14470942
1543,3,3,8,20,3073881
2226,1,3,6,30,11907062
3437,1,4,2,18,8796665
3260,4,1,6,30,8393868
948,4,2,7,31,10109387
2276,1,2,5,1,7752807
1796,5,2,3,9,6378551
609,1,4,4,1,5801394
3387,2,3,4,1,5327364
2061,3,2,6,23,5854513
1266,5,3,1,16,13324286
3193,2,2,4,31,12565252
2122,5,2,4,15,14015421
2776,2,4,1,15,4113560
1200,3,1,9,38,4793673
3252,3,4,4,30,5975488
926,4,2,7,23,5520745
1579,2,2,3,0,7144068
3051,4,1,3,10,5802923
1228,2,3,8,20,8143893
2229,4,3,8,3,5695741
3365,3,2,1,6,13387322
873,5,3,2,25,11105094
1284,4,2,8,11,11315496
715,2,1,1,30,14445205
1460,2,1,8,16,3335988
2603,3,2,8,32,7604459
1292,2,1,2,10,10603670
1705,1,4,4,27,3050428
2971,5,4,6,31,4589706
2761,4,1,9,0,12617390
2392,5,2,8,27,6805665
753,3,2,8,6,5389190
2500,4,1,7,1,11285780
2027,4,3,9,23,11503281
1889,1,4,2,3,10251938
914,3,3,3,18,10160678
1664,2,2,8,25,2755658
704,1,2,6,10,12379249
2524,1,3,9,39,4230283
2513,5,1,4,10,11642693
1816,5,3,8,2,8895300
2024,5,3,3,11,7529792
3001,1,4,3,2,8889690
2372,2,4,8,26,9266174
2560,4,3,5,1,3251993
3380,5,3,3,15,11614179
2203,2,2,1,1,3328282
1308,3,4,3,29,11360369
