customer_id,annual_income,spending_score,visits_per_month,avg_purchase_value
168,86677,50,4,1852
169,45425,36,18,4818
170,143246,8,12,5885
171,104817,79,19,5792
172,127585,3,8,1057
173,105961,62,7,3110
174,120342,47,16,1404
175,145740,77,19,5970
176,117649,98,6,4824
177,89806,88,11,3759
178,62814,96,5,4292
179,90219,61,16,503
180,69646,32,7,3075
181,59884,94,5,2632
182,115345,13,11,2292
183,146062,1,15,2543
184,120088,34,3,606
185,138198,62,5,1987
186,89322,79,5,4409
187,41650,78,9,2160
188,114242,93,15,2261
189,29190,98,3,5476
190,58196,82,6,1022
191,59449,71,17,1079
192,59661,93,8,5629
193,49709,31,11,828
194,130965,64,6,5193
195,100428,25,8,643
196,95179,38,10,4086
197,29943,14,3,3982
198,63240,8,14,5698
199,65760,91,14,508
200,41042,54,10,5036
201,141770,2,12,3706
202,63894,81,6,1611
203,26869,78,12,2599
204,81078,89,14,3636
205,76759,56,2,2247
206,125973,94,9,1219
207,64306,93,10,2344
208,128369,84,17,718
209,75371,85,17,2049
210,40918,61,3,3142
211,48379,22,19,5784
212,140667,35,1,1399
213,128475,16,12,3692
214,110810,50,7,3072
215,103232,43,4,2780
216,22962,17,10,1845
217,33851,80,13,1370
218,137626,58,2,2150
219,65747,2,10,5515
220,145180,4,4,5353
221,72349,85,18,4498
222,90832,39,5,3239
223,76356,98,19,5565
224,34745,94,2,2203
225,25730,6,12,978
226,33921,81,17,1288
227,118430,89,10,5501
228,91138,69,2,2775
229,103111,69,6,1907
230,39023,20,8,3169
231,65349,64,19,1802
232,146796,16,11,2089
233,101533,51,12,5581
234,103286,37,9,5327
235,61979,73,2,1725
236,42837,69,8,5457
237,34997,42,11,2740
238,124975,57,4,2342
239,108603,66,10,1578
240,65039,9,16,5598
241,147394,86,8,2894
242,40923,64,4,4989
243,28876,86,10,2736
244,80973,22,12,5817
245,22887,34,14,4103
246,83723,55,16,2505
247,62422,29,18,1327
248,122390,38,12,3839
249,71413,97,18,5355
250,122484,18,7,3783
251,22841,71,7,2541
252,144647,65,9,3065
253,48756,97,1,1473
254,91576,1,6,3530
255,138248,88,6,3650
256,30304,4,12,5211
257,50341,4,12,703
258,24758,82,10,5288
259,37010,27,6,3025
260,147039,43,17,3682
261,80758,59,19,4463
262,51658,32,18,387
263,69002,33,6,1458
264,123318,28,19,5770
265,21375,55,10,4573
266,119485,60,8,3157
267,42092,70,6,1681
268,20490,62,7,5303
269,23729,80,1,4981
270,25974,34,18,5385
271,138222,87,12,5527
272,105216,88,16,2364
273,103860,56,10,5615
274,147288,13,10,2674
275,116870,56,14,617
276,41398,18,10,1802
277,54650,54,10,2342
278,41292,77,11,4898
279,121291,43,2,2322
280,123889,39,8,418
281,23159,61,7,1009
282,118162,42,8,3857
283,82766,81,1,4440
284,114887,79,2,4709
285,122834,18,18,3550
286,37065,23,15,717
287,41638,54,1,2903
288,21073,30,5,4154
289,66511,98,2,1401
290,104307,58,3,4721
291,145274,68,19,3728
292,120997,67,18,5835
293,127866,71,18,2561
294,49320,18,14,4469
295,89876,7,8,3934
296,54924,40,12,5998
297,101720,70,10,808
298,60734,86,17,2679
299,88116,65,11,3464
300,60025,68,2,987
301,114503,49,4,5052
302,22159,52,1,5938
303,68940,29,15,1592
304,99436,21,13,5795
305,96976,90,8,4205
306,34678,78,4,3375
307,81075,9,10,3509
308,67204,47,19,5948
309,32021,76,18,5471
310,26772,42,5,624
311,87163,51,19,5387
312,129968,56,16,2293
313,93755,51,1,4276
314,43464,70,12,5112
315,71137,20,2,3070
316,50232,88,8,4672
317,81497,27,18,2883
318,128017,38,16,3857
319,94024,72,5,3887
320,120485,65,13,451
321,129898,54,19,1254
322,71448,24,3,5902
323,125468,47,8,4654
324,104517,71,12,2671
325,20901,83,2,5264
326,107980,86,11,1491
327,127594,63,12,987
328,103597,57,18,609
329,22881,55,13,1802
330,49863,60,5,3427
331,131362,99,12,4868
332,25622,62,2,3667
333,142740,30,5,3695
334,21378,93,7,1113
335,103168,22,12,1145
336,113847,75,16,1464
337,91186,84,8,5062
338,65201,29,9,5839
339,140767,41,15,2067
340,127760,42,5,5660
341,79251,98,13,654
342,92572,65,5,2172
343,59255,31,11,2324
344,83212,30,10,3117
345,70210,18,13,4132
346,145629,17,9,4575
347,136736,38,14,365
348,42499,14,18,5215
349,122552,87,15,5767
350,71628,89,10,4566
351,81360,79,7,4390
352,24603,56,8,2821
353,113309,22,3,2881
354,147466,67,15,1690
355,105473,56,16,1430
356,32632,19,4,2786
357,50607,57,6,1134
358,111873,44,1,526
359,85756,98,4,3815
360,66994,35,11,4837
361,83382,1,12,2743
362,90354,52,5,1027
363,76344,85,16,3986
364,73775,93,13,3922
365,27349,70,13,1336
366,91154,37,17,2132
367,47464,65,7,3040
368,62624,51,8,792
369,141897,1,13,1848
370,146866,91,16,1443
371,57344,21,4,5365
372,145857,53,8,4257
373,103791,16,16,3707
374,44299,61,10,939
375,67975,54,12,472
376,21462,40,12,5966
377,140209,26,5,4654
378,101441,80,16,4259
379,110456,92,1,816
380,101788,65,9,822
381,126540,74,12,2217
382,60581,64,5,3186
383,120372,43,3,2464
384,91289,17,5,2229
385,125541,59,2,4245
386,34175,23,14,5535
387,141704,7,2,2509
388,26191,44,13,4083
389,103434,53,7,2890
390,104518,71,10,5234
391,100158,79,13,4376
392,86537,34,16,5485
393,135721,46,14,1393
394,67645,68,11,4180
395,128536,78,10,2794
396,43283,78,6,2879
397,143153,16,4,2788
398,106971,71,1,3085
399,112759,96,7,3058
400,79123,19,9,1874
401,122780,2,8,5976
402,50024,10,5,2673
403,69630,50,19,4290
404,50734,81,10,5510
405,20515,12,11,5145
406,130782,70,15,1393
407,86727,22,6,1489
408,117800,32,15,2989
409,129164,84,5,4395
410,66216,1,19,2175
411,91833,54,19,3706
412,78755,58,10,2087
413,47856,70,12,4232
414,134959,83,4,1907
415,93870,18,18,4048
416,44162,6,16,348
417,26008,45,8,5471
418,27987,97,4,5708
419,82532,23,12,4161
420,116502,23,2,2480
421,23332,26,4,3346
422,86323,77,5,3133
423,58990,7,3,5585
424,29873,79,9,1697
425,102542,44,18,4126
426,105761,27,11,4874
427,56444,26,3,1131
428,55340,97,2,2997
429,125219,79,9,5077
430,25033,36,14,3035
431,93324,55,4,5719
432,35689,64,9,381
433,129756,91,13,386
434,107134,57,18,2363
435,123016,69,15,1121
436,115239,61,10,462
437,20066,2,16,4039
438,134159,55,12,2697
439,65246,97,5,2232
440,27533,80,2,3028
441,100639,87,10,3835
442,90152,38,1,3746
443,131581,80,7,5511
444,135828,78,17,3090
445,79658,29,16,3007
446,58498,26,3,4233
447,129028,35,14,3685
448,31772,79,10,1222
449,109385,67,7,2475
450,69036,87,17,5845
